timestamp,provider,workflow,briefId,variantId,run,ok,returncode,outPath,nodeCount,endingCount,invalidChoiceTargets,reachableNodesCount,reachableEndingsCount
20260217_135828,openrouter,robust,bank-interrogation,Government-interrogation,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_135828\bank-interrogation\robust\run001\scene.json,6,4,0,6,2
20260217_135828,openrouter,robust,bank-interrogation,Government-interrogation,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_135828\bank-interrogation\robust\run002\scene.json,5,6,0,5,2
20260217_135828,openrouter,robust,halloween-fair,spooky-campsite,1,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_135828\halloween-fair\robust\run001\scene.json,5,4,0,5,2
20260217_135828,openrouter,robust,halloween-fair,spooky-campsite,2,True,0,C:\Users\ethan\Documents\FinalYearProjectversions\Ethan Campbell final year project\scene-lab\scene-kit\experiments\output\runs\20260217_135828\halloween-fair\robust\run002\scene.json,6,4,0,6,2
